 
"All right, good. Like I'm I'm good. I'm
"But but Frankie, like that doesn't
"Look, just sit on it a little bit and
don't want to go back and forth with
don't want to pay for my jet. I want for
don't want to waste my time and I don't
don't. There's been scenarios where I've
done that as well. Like you know, I'm
done the numbers. It's not going to make
done with construction workers,
down the road and you got Mike in the
down the track when you when you've
down this funded accounts whole thesis
down, do you have them by by the
down, with the window up. Put the
down. Like, it's just small [\h__\h] like
down. You know what I mean? Right. And
drifted." Boom. Like, you know, you you
drugs. I barely ever drink. So, I've set
dude. Like, come on. Like, we're all
earnings. I don't look at any of that. I
easily. What what used what used to
eat every day, right? Unless they're,
editors on everything. Do you do you
education on it on how you do it. You
education space because you just be
education. I made all the money from
educational business that makes them a
effect for the next thing, which is the
eight hour range to 10 hour range that
either publicly or dollar-wise, says,
elite networker. I saw you I saw you on
else that I've been in America. It's
enough of these clips and you're curious
enter a trade you feel like you're the
enter. Is this a logical trade? Am I
entered the currency market with that
entering a trade based off of what a
entering a whole new trade. It's not the
entire life. Like I I like taking risk.
entire week to pay off this red light
entry signal. It sounds very simple now,
equal like whatever content works. So,
equally as a whole. But whatever works
especially, I think it's hard. But would
estate in just the construction and
estate investor. And as a real estate
estate, right? Let's say you're a real
evaluation process, you get funded 50,
evaluation process. Once you pass the
even 10 bucks if you wanted to. Some
even bigger than that, which is probably
even for people that do that, they have
even get the whole $100,000 to even
even have like your main Instagram
even own it just because the owner I've
even then, it still took me two, three
even thought about the profits of it,
even trading. No, you know, like maybe
ever been to was Cape Town, South
every micro influencer in trading
every other week, and that's it. So, I'm
every podcast because it allows the
every single clip before it goes out.
everyone to pick up on what you've just
everything can also be completely
everything connects, then you just make
everything is good. After we already
everything to build the system for it.
everything's come everything with you
everything. So I always prioritize my
everything. The odds of that happening
everything. Yeah. I think I think that
everywhere. What's what's the best ways
everywhere. Yeah. Yeah. It is literally
exact reel, we'll just re-upload it on a
exactly how many bullets were in the I
example. People don't need clothing and
executing a trade that traders don't ask
execution of that strategy at the right
exit amount is is drastically less, you
expand and grow your wealth and
expenses. I put 30% into mandatory
expensive like cuz like first month it's
expensive. But obviously, I didn't know
explain to somebody that you're going to
external things and you only focus on
extra 50 grand just for somebody to come
extra risk that maybe the chef cooks the
factor into the actual point of
fail. And it's a great opportunity for
fall in who Alex G is but but you know
feel comfortable off of doing something
feel like they're just adding more
fees from everywhere. We collect fees
figure out a way how you're going to get
figured out a way how to just analyze
figured that out. How to get the cigars
figuring out how to make money without
financial situation and they want to
financially and other stuff, but it's
find it better to be able to control
find me. That's the best quality lead
firms, they basically give you an
firms. I'm not sure if you're familiar
first look at the skill he's developed
first payout was for like $20,000. And
first the core skill is to like look at
first understand it at a more affordable
fitness app, but the fitness app, we
five minutes and this is the only window
flow Grant Cardone style. I don't really
flow. So, it makes no sense. But when
follow me. Yeah, they follow they follow
following. But I imagine the early days
food a little undercooked and then, you
for 12. And it just makes sense. It's a
for a weekend. He still doesn't believe
for data and a great for as a business
for example you get the customer one
for itself. So, there's different pilots
for maybe eight, nine, you put it online
for me. They didn't do it. I tried to
for multif family and multif family
for real estate investing won't make
for that week or the food that you would
for the 90% of the people from Miami.
for the first time, they've never done
for the hanger spot. That's how money
for the next 15 years. Like, I've really
for the rest of the day or if I'm not. I
for those people and those people are
for traders to make money and for them
for two and a half years on endless
for two, three months. That didn't make
for what I do. And my work comes first
for who I am or they don't. I do I do
for you like in terms of investments? I
for you to create content and to be very
for you. And there is a niche of people
for you. But if you did, but did you
fortunate because of that. If somebody
fortunate that I'm born and raised in
forward and how to plan and you know use
forward, I kind of had this mindset that
frames are better for stronger
from Cuba. They came to Miami. Give us a
from here so you could throw me anywhere
from here to Colombia and back, be my
from here to here." And 200,000 people
from it but it's also very time
from recurring from active accounts. We
front of you visually? So, you've got
front of you. One of my mates, Lloyd, I
full of viral reels. And then you just
fun and since I don't have to be
fun, to go create new content, to go and
funneling traffic back to the main
funneling up content, just cutting it
genuine as you can. So, it doesn't
get 10 million. That one that gets 10
get 20, 30, 40,000 views, but one will
get like 3.1 million or something like
get lost in in the scene. You want to
get my mom, my dad to do it. They didn't
get over is the fact of like people are
get rid of it next week, next month.
getting him to like convince me, give me
getting that money back and back and
girls are just dumb, you know? Like I
give it a story. You have to give it a
give that up to save 10% of an income?
give you this watch. I get your money
gives the message that you want to give.
giving them too much too many different
go create a personal brand, you want to
go do that again. So you're chasing that
go into your circle by being a yesman
go out there and first get out of depth,
go out there and market whatever, be as
go shoot guns. Like we had everything
go work overtime. You go work overtime,
go. Like it's so it's it's exhilarating
goes, "No espanol." I'm like, "No, no."
going I just sold the pink Bugatti, so I
going down on all the higher time frames
going off, whilst [\h__\h] rocket
going on. We create multiple different
going to add more twist to it. I don't
going to back your position 100%. Just
going to be a real estate investor and
going to be able to create more content
going to be able to tell the difference
going to be blowing some stuff up in the
going to be real estate. I'm going
going to be you need a story. There's
going to buy a jet. Yeah. Yeah. I mean,
going to call you a scammer. People are
going to create a P&L on his chart
going to do something, right? So, Mike's
going to do that. It's going to that."
going to get chartered with my friends
going to get curious on who you are.
going to get with where you want to go.
going to go find an opportunity in the
going to grab. It's going to be a real
going to implement the strategy.
going to keep following whatever you're
going to let one person that doesn't
going to let that affect the people that
going to make me this money back. And
going to make one good trade every week,
going to make sense. So then from that
going to maybe get Pagani or something.
going to teach you trading, but I
going to trade less, but when I do
golden advice, one pearl of wisdom that
gonna go pick it up Sunday. Like a shell
gonna have a very hard time trading.
good and it is to a certain extent, but
good for cash flow and then you can
good money. And I've created a system
got a good time for Mike, right? Mike,
got a red light ticket for
got like old school money. You go to
got people in the comments. Don't worry,
got smacked a few times trading against
got to I would take the approach like if
got to overcome that inner that inner
got to press the button whilst guns are
got you now start searching how to make
grand. And then trading forex came
great cuz I've always wanted to do a
green green green green and and and
growing your money. I could only save it
guess it is a scam because they're not
guess? Yeah, he's just going to guess.
guest. You know, I do not want to pay
guests to really summarize the
guide content guideline on what they
gun control. Fine. But like I've been
guns in Dubai. There's no guns in
guns, I could have had a little bit more
guy Sam whatever the the big
guy that overlooks that whole entire
guys over the last couple of months,
guys, they're used to being surrounded
had less distractions between when you
had to change in order for me to
half a million dollars. But that's me.
half a million dollars. You have to
hanger, usually it's like 40, 50 year
happen with me is when I used to when I
happen. And let's say you lose eight.
happen. And that's just been a mindset
harbor from there one time at night. Six
has a specific niche. There's a audience
has, you know, been this neverending
hating and ultimately they also have a
have a camera right there. Like I'm not
have a checklist. I mean, I I compare
have a stop loss. You need to have a
have already gone viral because it's a
have big companies. They've sold. Some
have bigger stops. You can have longer
have it there is because so many people
have more expenses and deduct stuff and
have no idea anything about this world
have the best experience. I went during
have the proper mindset to control that
have the purple one now. I'm probably
have the recurring model, the the the
have to create a storyline to everything
have to create a system that caters to
have to do. There's different ways on
have. And that's just your perfect way
haven't done a podcast probably in like
haven't really thought about it. I know
having like And where are you finding
having to put time into something. I
he started to to like just trade the
he told me to do. I went to Dunkin
he was the only guy in the whole bank
he was trading too much. Yeah. And then
he where he spread it across thousands
he'll look at the balance sheet. He'll
he's gone from pouring coffee to
he's seen in life to accept that his
heading down. That's all I look for. If
heading up. If it's bearish, it's
heard that. He's agreed on that. He's
helping me out for me and pointing out
here like how Cuban this place is. Yeah.
here to Atlanta and they're just using
here, bro. But yeah, no, in Miami
here. Like, I have uncles that have been
here. No, I this this is the best place.
here? Eight. Eight. Very comfortably.
hesitant to putting everything out there
high because I suppose I suppose it's a
high isn't it when you're putting so
high school. Like I I this is really how
him. But him not believing in me led me
himself Alex G. Welcome to the show.
his face. It's It's very like
history to me. So, everything was good
hit or miss. I haven't been able to find
hit the max and then struggle here. So,
hitting the buy or sell button, you
hold their hands. They just want to feel
holy [\h__\h] a gym has a lot of risk. You
homes. You have to pick which one you
hope that people fail. And some people
hopes and give her like disillusion, but
hotboxing this [\h__\h] with a cigarette,
household. Like we all had decent cars.
household. You know, we weren't wealthy,
housing, you can be apartment building,
how I am right now. I got kicked out of
how to have strategic tax strategies so
how to trade. This is a huge business
how you go about that. And sometimes
how you want. You're as consistent as
hundred bucks. I'm like, "Oh, this is
if I was in a position like them, I
if the market's going to go through
if you have the best mindset. But a lot
if you're multifamily, for example,
images, videos, search results, fake
imagine forex was because the market was
implement what Alex is doing look at
import export thing and we haven't
impossible. Like if you have a hundred
in America for the last 10 years of your
in Miami and Mike W has a good time. I
in Miami. I know how to get my way
in a in a rubbish manner where they they
in a losing battle. Yeah, you can get
in construction 35 years. So, I'm very
in front of the markets for nine hours
in like fitness apps and stuff like
in many different things. And I've done
in profit just because if the setup's
in the afternoon. If I'm not, I'm not
in the air and I didn't want to be
in the bio to send the traffic out to a
in the circle. Yeah. I I I just want
in the next two to three weeks. Two to
in the stock market, your leverage is
in there. Put it into something else
in there. Yeah. But it's not I don't
in these markets. I mean, you can also
in your position would leave here, go
in. And I don't do it to capitalize off
increase the the salailability of your
inevitable. It's the fee. It's the cost
ingredients, you get it all there.
initial period done? So, yeah. So, at
innovation. Doesn't believe in creating
interest rates are set up right now,
into all this equipment and then you got
into how to make money online and
into it just to understand where you're
into it. Full transmission, the whole
into me where Miami is the best spot to
into stuff, but he didn't really care.
into the developing of real estate
into these hangers and stuff? Yeah. Is
into this [\h__\h] and it's just going to
into trading currencies with just a
into trading, but I got into trading
into your bank account? Like there's
introduced to it is that you needed some
invasion of privacy. But once you start
invest a lot into real estate right now.
investing in all these different types.
investing. Whether it's creating just a
investment on whatever cost you to get
investments and how you're expanding the
investor wants major moves because it's
investor, there's many different types.
investors. There's many different types
involved because I have to leave work in
involved every single day in the
involved in so the trade was USD CAD
involved in that part. Lately, I haven't
involved. They feel just because they're
is basically impossible. I don't do
is bearish. If it's bullish, it's
is great it's actually a 1.5 lot. So
is once you start making probably over a
is playing out, but you're just getting
is pushing the virality because people
is this properly having a right trend?
is this whole trading thing real? Like,
is very low, and still be profitable
is when I go to the Instagram and you
is you got to know the right people in
it because I don't care, right? But like
it but that patience I I feel like you
it causes some arguments in the
it eight out of 10 times goes reviral
it every now and again but not not go on
it like this because it can affect you
it look genuine on your page without
it makes sense to them because that
it makes sense to tie up 10 15 20% of
it makes you be more strategic with what
it or Yeah, I didn't think it was going
it out there. It's like a flex, you
it really depends on how I'm doing in
it really varies. I'd say it's just
it ride for two, three days and there's
it to get chartered and for it to pay
it up a bit. It's not Cuban enough for
it'll take 10 15% off of my profit.
it's 100% lock guaranteed zero risk
it's 70 on Instagram, 70 on Tik Tok, 70
it's been very up and down lately. Do
it's going to help people, I'm like, but
it's going to think about it a lot more
it's good though because you just you
it's hard out here. It's really hard out
it's it's good that you've got that kind
it's just cool knowing these guys. I
it's just purely content. And we're
it's just the food that you would buy
it's made you understand about how to
it's not authentic to me. I can't do
it's not broken, don't fix it. If it's a
it's not it's not the place. It's not
it's the cost. I've tried to figure out
it's the it's the podcasting, it's the
it's very cool. Um, I'm also looking to
it's very expensive because you have to
it's very time consuming but it's part
it. And that's where it kind of just got
it. But if if you're managing risk
it. Can we do the first podcast in that
it. He doesn't think it's real. He
it. Obviously, if you have everything
it. So like before I get into something
it. So, I don't think I'm going to be as
it. There's no creativity in Cuba.
it. Well, that that's I'm not a scammer.
it. Yeah. You can literally lose all of
it? Because you know what they say one
it? But you've just got to come here
jet did you buy? It's a Lear. It's not
jet. And secondly is for business. Like,
jet. Like, if I'm not using it, dude,
jet? We could do a podcast in it. Yeah.
jets and all this stuff, but let's just
journey that we're in today. What do you
journey. Obviously anybody can search on
just a couple hundred bucks. And
just a regular person on a on a flight,
just and and actually think about
just are constantly posting it. Do you
just because the market has to create
just being me 247. We just happen to
just bills, cars, insuranceances,
just capturing the moment. And a lot of
just coming out from the signup money,
just don't chase them. I don't entertain
just don't want to deal with them.
just fan pages that they create them,
just go in and want to click buy or sell
just go. The vibes are just different
just going to click buy or sell. So,
just going to come and click buy or
just going to encourage him to do that.
just going to take you home. Like I
just going to trade for me, and I'm just
just got rid of the pink one. I just
just kind of figuring everything out
just like, you know, that's the Cuba
just living my life and it got captured
just look at the chart. I don't care
just makes no sense, brother. He's like,
just making plays into random fields.
just math. You're not going to lose 10
just offer a demo account and they would
just pull up to the computer and you
just relax." You know, I will agree in
just saw that. I think that's kind of
just simply either make more money or
just so many different ways to do this
just so you don't have access to it. And
just speak up and be be the real person
just start laughing. But yeah, they just
just started dabbling on how to trade
just subcontract and pay them off of
just take you out and it makes you a
just take, you know, just wait for the
just talking. You can't even like see
just that one client can just continue
just that specific viral content. Right.
just things that where you got to just
just think of all the games that you're
just thinks about all you got to do is
just wait for the market to do its
just went by. After 10:00 in the
just who I am. And some people kind of
just work. He doesn't believe in
just you as one trader but from hundreds
kahunas to do it because you know you're
keep buying and you don't have to go
keep scaling the guns on his YouTube
kids, but I think you're just adding a
kind of I want this audience to
kind of personal brand online when you
kind of, you know, control me because
king of the world and then you want to
know again know your risk appetite and
know any of this about themselves. They
know how it works. And I wanted to make
know how what your backing is in your in
know same way as you've just described
know they've traveled all the world,
know what I mean? How how are you how
know what I mean? Yeah. I used to be
know what's what's good versus bad, you
know when you're working at Dunkin
know you're making investments into like
know you've been to all these places.
know, Miami will eat you up on that
know, across three clips. Oh, yeah.
know, because they won't understand."
know, it's boxing, it's the fitness,
know, it's just it's just it's just you
know, my family would approve. They they
know, so it's way better to do it. I
know, somebody gets sick, maybe a minor
know, that's not fun, right? It's not
know, the Bugattis and the cars and the
know, there's there's these pages on
know. And I just I really wanted people
know. It's not that deep. But but but
know? I love like whenever I post a
know? It was just like a moment thing
know? You know what I mean? Oh, man.
landlord is going to sign me a year
last time I went to a club was a year
last two years, I would literally have
last week since I made no money from
last. Obviously, because you know I'm
launched it? Because your heritage, man.
launchers shooting off the back of the
lawsuit, whatever, but like there's no
lawsuits, all this [\h__\h] 30% I have to
lawyers that have firms, just very
lead of whatever they're doing, whatever
learn how the chart setup is. I learned
learn how to trade. Why? Because people
learn who you are as a trader and how
learnings. But if there's one piece of
lease so I can subleasase it out. I
lease when I have no bank statements,
leave here and go to Dubai, this that
leave to Dubai, people that leave to a
leave. Come back the next day and do it
leave. Come back tomorrow and do the
level one to three or from three to five
level. And as always guys, like and
life completely. You creating that
life that I want in a different way
life, 20 years of your adult life, why
life, the Jets. Yeah. The you know, you
life? The way I see it is the longer I
lifestyle I'm living now. And I wanted
lifestyle that I'm living now.
lifestyle to be able to have this
light jet. It's um it's like decent.
like $400,000, I say it's like 70%,
like 10 different questions. It's like,
like 178 million. And I'm going to get
like 75 different short form accounts
like Julian Petrulus, who he'll take a
like a sixmon thing, but we're kind of
like all these guys' salary. Like the
like businesses like like clothing, for
like content that creates arguments
like finalizing the idea of that. Yeah.
like having fun and I know when to have
like how would you set set it up from
like if you were to have a
like m I'm talking about like 500 points
like multi-level marketing events. IML.
like right off the bat. It just makes I
like seven days you're not going to take
like that style right now. I don't think
like that. I didn't really want to do
like there's just so much that goes into
like this. It's just unbelievable, isn't
like two days, two days out of that
like we're just like, "Hey, don't give
like what one part of my business is a
like whatever. I'll take the 85% of the
like you everyone speaks Spanish. Mhm.
like you're in America but also feel
like, "Okay, it's good.
like, "Yo, the market is going to go
like, "Yo, we're all millionaires." And
liquidity grabbed out of the position.
literally be like, if you want it, you
literally go then to the grocery store
literally just betting. It is. Anybody
literally paying for fuel. Yeah. And
little bit better of a average
little bit frustrated because the trade
little bit though when you send the IRS
live here don't want to have to put up
live the life that I want in a different
living this lavish lifestyle because
load of stuff, and then hope they can
logical setup that you had taken
logical trades to take? No. But there's
long story. I just do [\h__\h] online, you
look at is I'm 24 right now. I don't
look at it until midnight of that
look at their data, they've not even
look for a new client so your return on
look like you just want to upload
look to minimize the risk as much as I
look what they're doing. He'll know when
looking at fundamentals, looking at
looking at the charts that the market
looking at the market again until almost
looking to day trade? How agg factors
looking to make back some profits that I
lose everything in one move or do you
lose everything. and never work a day
lose you could lose less trades, right?
losing money trading though? Because
loss it's super cool and it's just a
loss plus two. This person is going to
lost about like $30,000, and it was some
lost in the scene. It depends what kind
lost yesterday? Am I looking just to be
lot of 24 year olds out there with a
lot of patience, but patience with
lot of people lose money. I've certainly
lot of the technology side of things has
lot of them got caught taking other
lot of them got found out, didn't they?
love to ask this question at the end of
love to do a podcast in Adrian's jet.
lumpy part where where we do like
mad all day. You have to learn who you
made it to the beach here, obviously did
made me a lot of passive money without
made off education compared to trading?
made sure that it was good, it was
made the move. Like this jet, I've been
made you pick trading? So, I actually
main Instagram account. No, it doesn't
main account. If not, don't. So, these
main thing for me that's coming up is
major personal brand play. There's not a
majority of these Miami girls are
make [\h__\h] money. Out of 10 trades
make it equally as fast as fast. Yeah.
make me more money. Like I can make 20
make money and get [\h__\h] done mentality,
make money from trading with just having
make money. So I kind of just did what
make more money if you do nothing. just
make more sense if we keep it into
make sense. like you hire like like you
make sure that what I'm doing is 100%
making billions, hundreds of millions of
making the wrong decision because they
making trades. Sometimes I even thought
man. There's meant to be [\h__\h] blowing up
manage and not put myself in an
mandatory reinvest into something.
manually. There's no way. Yeah, it's
many meals they're doing, this and the
many people you got to see people
many series of questions before you
market and risk 20% of my account and I
market doing? Is it going up or is it
market opens, market closes, the
market should you be looking to day
market you have to just trade 9 to5
market, you could have up to one to
market. It's I mean it's just simply
market. Just because they deposited
markets, I can tell right off right in
mass eyeballs? Because the mass eyeballs
mastering the forex markets. Now,
matter what you do with taxes? I'd say
maximize as much as you could, right?
maximizing that period right there. How
maybe and they don't do it how as
me I'm very consistent is because I'm
me and they follow each other. Right.
me any money. After that, I got into
me because I'm Cuban and they want to
me go trade the currency market. Which
me in front of me at that moment. So
me in high school. Like I was exactly
me the opportunity because the times
me to actually start making money to
me, right? Like you better be Cuban,
me, the goal is for the jet to never be
me. The guy's just sitting there and
me. There's some times where I've held
mean, if if the first thing that I see
mean, obviously there's some places, but
mean? And then he'll and then he'll sell
mean? Just putting all the pillars
mean? True. So, and I suppose when you
men go through and attain more and more
metrics. Yeah.
micro following. And that's not how this
mid-30s. You're starting your mid-30s.
midnight. So, I have the whole entire
million Cubans. Yeah. Like you'll go to
million dollars and you don't have your
million dollars. If you make more than a
million, we just upload on one specific
million. Yeah. Including the land. And
millionaire this year. Be realistic. You
mindset that had to change in order for
mindset that okay, I'm going to trade
mindset, let's be realistic. You have to
mine. I just have to like finish the
minimum of $25,000 to open up a decent
minute, it's like, okay, which pillars
minutes for one candlestick to be made.
model is just data. For traders, it's an
model that you don't have to get a new
moment forward, I kind of had this
moment. Walk me through some of these
monetization and your front end plus
money I get, the less women I want, like
money and hope they would fail. But does
money and then they use the lifestyle to
money and they'll just pocket it and
money but I think it takes a lot of
money into an account that they go have
money into my personal account and I
money online, how to generate money, how
money, time for money. Is that is that
money, you have to get really really
money. That just doesn't make sense
money. That's where I'm going to come in
money. The entry barrier is a lot less.
month, it pays for itself. It's I'm just
month, whatever. And obviously, after
month. On that trade that you didn't
months and they're just content
months to buy the car before I actually
months. I studied the laws. I created
more availability even though at some
more like they they turn me off because
more money than you know what to do with
more than if you pick the wrong Latina.
more traffic to the course. If I was in
more. Yeah. It's harder. You get higher
morning and by 10 10:30 in the morning,
morning and you walk into that screen,
morning, I can literally turn off my
motivating and the benefits that you
move them 1% forward from today, your
moves over a over a period of time?
moves. I'm not an investor, right? An
much because I was profitable when I was
much cooler to be as transparent as you
much money I make. He just sees all the
much money on the line. How did you
much more money because they make it
much more money than what they have to
much risk appetite you have. I just
must be hard though for him as a like
my dad. Yeah. So he's he he is not going
my family, I have a big family that has
my jet does not ever touch the ground. I
my parents were born and raised in Cuba,
my personal account. And that's how I
my shoes off. There's one thing I can
myself in a way where I don't ever have
myself with has no price tag. If you
nationality. I thought the Cubans were
necessity and once you sell them
need to sign a lease, you know, invest
need to understand that it's not you
negative comment, delete it. You're not
negativity towards me right now. We've
never be barefoot in my life unless I'm
never do anything with the data. They
never lose that focus. Do you think you
next I I just don't like the whole
next few months. And it's going to be on
next two to three weeks. That's the
night. Yeah, I like I like having fun
no option that I'm not able to do it
no way. You have to have a system. So
no, but if there's if there's if there's
none of these major liquidity grabs that
normal because that's where you're able
not a big one, but yeah, I already have
not because they have data not only from
not going to happen. they would need so
not having any knowledge of trading, by
not investing your money, you're not
not knowing anything about trading. You
not necessarily getting access to
not the actual sit down and watch the
not there even if it's not there for
not trading with the trend, you're just
not understand how to hold their hands.
nothing to do with me. Yeah. I didn't re
now and be realistic with how you're
now from even just talking to you and
now has zero context about a strategy.
now hundreds and hundreds of thousands
now. It made me like, how come I'm not
observing from years my friends over the
obviously I didn't realize until I got
obviously and with that alone it
obviously different stuff maybe
obviously it's in stocks. He'll look
of
of a strategy. You can have the best
of advice, what would that be? Some
of code that you have to custom create.
of crash heads all the time and he
of desperation and just seeking
of doing business. And I hate it. Trust
of flamboyant lifestyle and like you
of his friends literally old school had
of it, there's the liquidity side of it,
of it. So the challenge cost about 500
of millions doing it. Yeah. I mean, the
of my dad's money because I I was
of my life um do I want to show the
of my passion All of the successful
of other accounts? Yeah, I own every
of person you are. If you know you're a
of self, you know, like similar to what
of something from them. I don't need
of the businesses that run really in a
of the cash flow, what is the goal, as
of the jet anyway. Yeah. I mean, it's
of the time frames are heading down, I'm
of them are doctors and they have firms,
of these companies, one, they're not
of this Miata and probably put an LS
of thousands of different traders that
of thousands of dollars difference
of time to make sure that those trades
of traders. We can be a scalper, day
of trades. But then soon as I started to
of value to your life. I hope it's to
of view grabbing using somebody's name.
of what I have because I don't ever want
of your life when you're trading, you
of. And then just start. Whatever it is
off of where this is located, based off
offs. There's just different ways on you
okay you know what this trade is
okay, I can have my job, I can work my 9
okay, how big do I go multif family? Do
old guys that are there and they see me
on Instagram, we just replicate it on a
on YouTube. Oh, really? Yeah. So, we're
on crypto and you make the money back in
on it. I'm going to demolish them and
on like Miami versus other parts of the
on like the Instagrams, the Tik Toks of
on my on Instagram. It's ridiculous. I
on the Canadian dollar and I just didn't
on the dollar. So, there's always going
on the ground. The more it's in the air,
on the internet? Oh, I have some [\h__\h]
on the short-term and long term leverage
on top of it as I am now. I do it now
on who I am, you'll figure out how to
on, it's all ours. We have it our own
on. when when you were obviously at the
one clip that goes viral on Instagram
one cuz I'm going to absolutely make you
one thing I just could I couldn't figure
one two% per trade. Mhm. But I know that
one-off scenario and then we got retain
only having a riskmanagement strategy.
open the whole time, right? Yeah. So,
operate in then is the is the forex
opinion? Like, you can change somebody's
opportunity for you to catch a good
opportunity in America is just mental.
opportunity to get some capital. You're
or four or five months. You know what I
or maybe just change a couple text so
or not. If I am, I stay until about 1:00
or selling at a strong support or
order a bulk amount of food, they cook a
order for the market to move so you can
order to do it. And I happen to be very
originally build up your your money base
other because I didn't trade last week.
other businesses that you've built
other day and I was walking around and I
other people can capitalize off of it.
other people. That's totally fine. I
other. So you can order all the
our audience a little bit and we're just
out in a profit and you go and enter
out like what why I mean I get why it's
out of 100% of my income, 30% of it I
out of Dominican Republic into different
out of the bank account. Don't leave it
out one way or the other, right? No. I
out right now. And uh I'm probably gonna
out there that will cater to you and it
out there. Yeah. Quick one for you guys.
out was six months ago here. I think the
out way how to strategically have better
out ways how to capitalize off of that.
out when he, you know, he's quite
out. Like no one's forcing you to do it.
out. So when you have all of these crazy
outside of my circle because I feel like
over again. It's it's a if if it's a if
over anything. Over anything. And I
over six figures. All they need is just
overall. I don't want that. I want for
overdue a retracement I'm going to take
overnight fee or whether worth you
owes them a trade. They feel just
own all of your short form accounts or
own pilot on standby all the time? Yeah.
paddle." Because a lot of these big
page. That's where you then go build the
page. They just send the traffic
paper for it. What What What level of
part of ourselves, bro. There's a
party guy, if you're like going out, you
passion for teaching people and putting
passion project rather than actually a
passionate as as consistent as you do.
patience. Patience. I've already had a
pay for the monthly. You have to pay for
pay out of pocket the $100,000 a year
paying people back, and then they end up
people a bit of an insides journey. Like
people and just help them. And I don't
people and we are back and today guys
people are going to come after you. How
people are going you can't do this and
people as well. But he said to me,
people in this industry that, you know,
people know more about me or remember
people look up to me and I have just
people not in the best financial
people say 10, some people say five. But
people should be doing in order to get
people that are coming to Miami, they're
people that like follow me because I
people they create the moment and it
people think it's about different topic,
people to just sit on their hands and
people what should people trade in? What
people, patience with things that I
people. It's going to do this. It's
percentage terms, how much more have you
perfect. I can just start with a 100
person could have a 30% win rate, which
person that I am on my main account.
person. Like I I will think 25 times and
personal brand and you want to attract
personal brand, whether you want to
personally believe that this is the best
piece of content that you're creating
place in the world to like make and
planned out an age for that to kind of
platform, whatever it is. I have 25
platforms that you start take your first
platforms. Mhm. But whichever one goes
platforms. So there's the dashboard side
platforms. You can sell it to brokers.
playing before you even got into your
plumbers, electricians, AC guys, because
podcast in it? We could do a podcast in
podcast in the jet, right? Yeah, we
point and they're just going to the same
point than just going to the big boy.
point where you will be a millionaire.
point where you're at Dunkin Donuts,
pointed out some flaws or tried to help
points that these big successful people
portfolio for crypto, waiting for the
portfolio. Yeah, so I have a lot of
position and I made about $415,000 last
position like that, I can understand
position, which would have made me like
positions. I mean, I I watch guys like I
possibly can be. It's like now like some
post it all the time, they took it. I
post that I, you know, I'm flexing jets,
posting and don't stop. The moment you
posting these stories that he was at
potential because of their current
power of almost $100,000. You just
pre-insspection on it, it was like an
prepared that people will start coming
pretty big network with all these cool
pretty deep into the developing. So,
previously. You're just predicting that
probably I don't know like 120 pieces of
probably cost me, you know, everything
probably eight months of solidly just
probably have a jet. You're going you're
probably one shot. Depends on the winds.
problem with committing to it once they
product and they're just, you know, kind
product. Doesn't believe in any of that.
products. You needed a credit card with
profit even though it was literally like
profit project. We were going to do a
profit. So I probably dabbled with that
profitable area to be like to build any
profitable business model. Started off
profitable for them and like but it does
prop firms are big on just data. So, I
proper way to run the business. That's
protecting brands from negative online
proven concept and it's getting views,
proven concept. You can upload 10, they
pullbacks and stuff and and make lots of
pushed me to wanting more. And even now
pushes content like the virality goes
put it everywhere. I have like probably
putting on and you can and you can
qualified founders to be part of a
questions about different avenues,
questions if you haven't even watched
rabbit holes. And after two and a half
raft. He left Cuba from this little
rage. I have a place where you can go
random stranger and make them rich,
random time or a predetermined time.
rates, like they buy it, right? and they
re-edit a little bit of structure on it
real big thing. If we're going to get a
real estate investing with the type that
real estate. I made all the money from
real risk associated with it. Before I
real risks around it. Maybe there's some
real. So if you're going to create a
realistic with where you are right now.
realistic. You're they say you're in
realize where you are and just [\h__\h]
realizing the things they're doing
really did it for me was that you're
really having to do any more stuff and
really know what it was going towards. I
really like I can show you pictures of
reap from it, I'm like, you know what?
reason to change that. Yeah. But but h
reasoning? Because I'm sure you've
recurring basis, you know, recurring and
ref. We give them their money back, but
regular system is not going to get you
release it later. Drop it. Yeah.
releasing it. It's like how many people
remember. Like you just reminded me of
remove the risk before you even enter
rent it out for a year and then you
rental arbitrage. So, Airbnb arbitrage
replicate it on a different account with
repurpose the same exact content that
resistance level and then having an
resource. And I was at one point gonna
respected. It's just the truth. It's
results. Don't call me a scammer because
right entry, either buying real estate,
right now, watches, cars, get the money
right to your house. And I remember that
